Name,City,State,Enrollment,Type,Region,Adm_Rate,ACT_median,Cost,Net_Tuition,Avg_Fac_Salary,PercentFemale,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,FourYearComp_Males,FourYearComp_Females,Debt_median,Salary10yr_median
Cincinnati Christian University,Cincinnati,OH,592,Private,Great Lakes,0.4158,19,31398,9279,39168,0.32038835,0.870999985,0.098299999,0.0158,0.010700001,0.37755102,0.392405063,10800,32700
Citadel Military College of South Carolina,Charleston,SC,2882,Public,South East,0.808,23,28743,11712,77814,0.11843362,0.764000015,0.175100002,0.0504,0.0223,0.667311412,0.546666667,18594,56800
City University of Seattle,Seattle,WA,651,Private,Far West,NA,NA,30940,24301,50688,0.601265823,0.794899979,0.0395,0.072399998,0.068600001,0.277777778,0.286764706,15047,46500
Claflin University,Orangeburg,SC,2043,Private,South East,0.564,19,32529,11519,62064,0.670068027,0.468300018,0.500499992,0.0227,0.0082,0.405660377,0.479651163,22750,28500
Claremont McKenna College,Claremont,CA,1318,Private,Far West,0.0931,33,71745,35861,131652,0.488262911,0.687799988,0.0546,0.195799999,0.116700001,NA,NA,13035,72900
Clarion University of Pennsylvania,Clarion,PA,3849,Public,Mid East,0.941,20,25132,8200,86643,0.649489116,0.944700012,0.0353,0.011,0.0062,0.435361217,0.525339926,19500,37900
Clark Atlanta University,Atlanta,GA,3320,Private,South East,0.5185,20,37382,18157,67203,0.762973352,0.451699982,0.421599998,0.113900003,0.040300002,0.327433628,0.395770393,15665,35500
Clark University,Worcester,MA,2252,Private,New England,0.5939,NA,54760,20544,97731,0.656084656,0.856200027,0.050700002,0.063400002,0.038699999,0.67816092,0.757575758,22750,49100
Clarke University,Dubuque,IA,731,Private,Plains,0.8248,21,44891,16303,56007,0.608695652,0.925999985,0.035899999,0.0552,0.0092,0.5,0.693641618,21500,41300
Clarks Summit University,South Abington Township,PA,531,Private,Mid East,0.5071,NA,32740,9032,38925,0.47318612,0.913499985,0.044400001,0.033900001,0.0127,0.394230769,0.388888889,13094,32000
Clarkson College,Omaha,NE,646,Private,Plains,0.4068,20,28773,14338,55656,0.864559819,0.896999969,0.0502,0.041500001,0.0138,NA,NA,21000,49300
Clarkson University,Potsdam,NY,2983,Private,Mid East,0.7108,27,65899,17713,97497,0.299855491,0.914100037,0.039000001,0.033800001,0.014299999,0.711985689,0.817351598,23000,72000
Clayton  State University,Morrow,GA,5630,Public,South East,0.5436,NA,17697,4727,59625,0.706332842,0.480099983,0.453600006,0.047199998,0.026199999,0.250447227,0.354862119,17778,38800
Cleary University,Howell,MI,474,Private,Great Lakes,0.5797,19,30418,12250,45666,0.611940299,0.873099976,0.078699999,0.021500001,0.019400001,0.305084746,0.345679012,17000,53600
