Country,Region,Happiness,GDP,logGDP,HLE,Social,Freedom,Generosity,Corruption,GDP_1k
Uzbekistan,Commonwealth of Independent States,6.179,6877.427836155341,8.836,65.255,0.918,0.97,0.311,0.515,6.8774278361553405
Chile,Latin America and Caribbean,6.172,23647.20014953603,10.071,70,0.882,0.742,-0.044,0.83,23.64720014953603
Poland,Central and Eastern Europe,6.166,32273.443875318557,10.382,69.702,0.898,0.841,-0.165,0.735,32.273443875318556
Kazakhstan,Commonwealth of Independent States,6.152,25719.378140315774,10.155,65.2,0.952,0.853,-0.069,0.733,25.719378140315772
Romania,Central and Eastern Europe,6.14,29260.682509921295,10.284,67.355,0.832,0.845,-0.219,0.938,29.260682509921295
Kuwait,Middle East and North Africa,6.106,49861.27857250652,10.817,66.9,0.843,0.867,-0.104,0.736,49.86127857250652
Serbia,Central and Eastern Europe,6.078,17800.82351326212,9.787,68.6,0.873,0.778,0.002,0.835,17.80082351326212
El Salvador,Latin America and Caribbean,6.061,8552.68031552613,9.054,66.402,0.762,0.888,-0.11,0.688,8.55268031552613
Mauritius,Sub-Saharan Africa,6.049,22203.38425142754,10.008,66.701,0.905,0.867,-0.054,0.789,22.20338425142754
Latvia,Central and Eastern Europe,6.032,30181.969842809693,10.315,67.1,0.927,0.715,-0.162,0.8,30.181969842809693
Colombia,Latin America and Caribbean,6.012,14143.3524335182,9.557,68.001,0.847,0.837,-0.135,0.841,14.1433524335182
Hungary,Central and Eastern Europe,5.992,31508.102060147456,10.358,68,0.943,0.755,-0.186,0.876,31.508102060147454
Thailand,Southeast Asia,5.985,18124.139450452363,9.805,67.401,0.888,0.884,0.287,0.895,18.124139450452365
Nicaragua,Latin America and Caribbean,5.972,5541.386393677689,8.62,67.657,0.864,0.836,0.02,0.664,5.541386393677689
Japan,East Asia,5.94,40578.75772806268,10.611,75.1,0.884,0.796,-0.258,0.638,40.578757728062676
Argentina,Latin America and Caribbean,5.929,21205.163662757783,9.962,69,0.898,0.828,-0.182,0.834,21.205163662757784
Portugal,Western Europe,5.929,33556.97434729619,10.421,72.6,0.879,0.892,-0.244,0.887,33.55697434729619
Honduras,Latin America and Caribbean,5.919,5698.737852969742,8.648,67.3,0.812,0.857,0.081,0.809,5.6987378529697414
Croatia,Central and Eastern Europe,5.882,27364.449871117336,10.217,70.799,0.924,0.754,-0.118,0.939,27.364449871117337
Philippines,Southeast Asia,5.88,8742.924293109256,9.076,62,0.83,0.917,-0.097,0.742,8.742924293109256
South Korea,East Asia,5.845,42234.808246710236,10.651,73.9,0.799,0.672,-0.083,0.727,42.23480824671024
Peru,Latin America and Caribbean,5.84,12810.238333666217,9.458,68.25,0.832,0.822,-0.154,0.891,12.810238333666216
Bosnia and Herzegovina,Central and Eastern Europe,5.813,14617.869534342557,9.59,68.098,0.87,0.706,0.113,0.931,14.617869534342557
